label,new_message1
0,Skip hpack if tests are missing ( <link> ) 
0,Change contributing guide in repo to match wiki ( <link> ) 
0,Remove overlapping  <file_name>  
0, <file_name>  init speedup ( <link> ) 
3,API for handling an unexpected SSE response 
0,MockWebserver fix for <iden> addresses ( <link> )  <enter> Wrap <iden> addresses with [] and return '/' path URIs for proxy CONNECT 
3,remove experimental doc 
0,Restricted ciphers ( <link> )  <enter> Add a 'best practice' restricted <iden>  <file_name>  
0,Update  <file_name>  to temporarily ignore javadoc errors and compile tests but not run ( <link> ) 
0,Improve  <file_name>  example ( <link> )  <enter> * improve  <file_name>  example <enter> * bad import 
2,document buffer ( <link> ) 
2,Fix travis build 
0,"Failed, second connection and call.enqueue <iden> tests ( <link> )  <enter> * more tests <enter> * cleanup <enter> * review comments <enter> * fix flaky test "
0,IOException instead of <iden> in  <file_name>  API ( <link> ) 
2,Make  <file_name>  more capable. 
2,fix  <file_name>  for Java 9 
0,document support for SNI 
0,Upgrade to Spring Integration <version>  <enter> Closes <link> 
0,Upgrade to Hibernate <version>  <enter> Closes <link> 
0,Upgrade to <iden> <version>  <enter> Closes <link> 
0,Upgrade to Micrometer <version>  <enter> Closes <link> 
0,Upgrade to Byte Buddy <version>  <enter> Closes <link> 
0,Fix mapping of <iden>'s idle-timeout and heartbeat-interval  <enter> Previous to this commit the connection idle timeout and heartbeat interval were mapped to seconds whereas <iden> expects ms for all duration types. <enter> This commit fixes the mapping and removes the default duration unit since it should be considered ms like every other duration properties. <enter>  Closes <link> 
0,Document how to use  <file_name>  with reactive access  <enter> Closes <link> 
2,Polish contribution  <enter> See  <link> 
0,Upgrade to Neo4j Ogm <version>  <enter> Closes <link> 
0,Fix encoding of @bean in reference documentation  <enter> Closes <link> 
0,Polish 'Document how to add metadata for collection and enum default values' <enter>  Closes <link> 
0,Upgrade to Netty Tcnative <version>  <enter> Closes <link> 
0,Polish 'Log health check failure with Reactive health indicators'  <enter> See  <link> 
0,Upgrade Java 8 version in CI image  <enter> Closes <link> 
0,Polish 'Clarify edge case docs on  <file_name> '  <enter> Closes <link> 
2,Fix doc formatting  <enter> Closes <link> 
0,Document limitations of logging.pattern.*  <enter> Closes <link> 
0,Clarify use of `<iden>` for batch apps  <enter> Closes <link> 
0,Remove deprecated configuration properties  <enter> This commit removes the following deprecated properties: <enter> * `server.connection-timeout` * `server.use-forward-headers` * `server.jetty.max-http-post-size` * `server.tomcat.max-http-post-size` <enter>  Closes <link> 
0,Add jaxb API to jersey starter  <enter> Closes <link> 
0,"Fix health indicator auto-configuration order  <enter> Previously, the health auto-configuration `AutoconfigureOrder` entry for couchbase was referring to the standard couchbase auto-configuration that is not responsible to configure the `CouchbaseOperations` bean. Yet, the health indicator implementation was relying on the presence of such a bean. <enter> This commit fixes the `AutoconfigureOrder` entry so that it refers to `<iden>` now. <enter>  Closes <link> "
0,Upgrade to Spring Data <iden>  <enter> Closes <link> 
0,Polish '<iden> mode is not logging web and sql related loggers'  <enter> Closes <link> 
0,Polish contribution  <enter> Closes <link> 
2,Polish contribution  <enter> Closes <link> 
0,"Clarify the role of spring-boot-starter-cache  <enter> The cache abstraction is a core feature of the <iden> Framework. Basic features such as `<iden>` are therefore available by default with no extra dependencies necessary. <enter> However, the actual cache adapters for <iden>, <iden> <version>, <iden> and <iden> are located in a separated module, `spring-context-support`. <iden> provides that artifact via the `spring-boot-starter-cache` starter. <enter> It is quite easy to 'only' add the cache library dependencies and forget about this extra dependencies since `<iden>` is available by default. This commit clarifies the role of the starer in each section so that it is more obvious. We're already explaining this at the beginning of the section but it seems that's not enough. <enter>  Closes <link> "
0,Upgrade to Spring Session <iden>  <enter> Closes <link> 
2,Fix datasource metrics doc  <enter> The maximum and minimum number of connections are no metrics so these are not exposed. Fix the doc that stated the contrary. <enter>  Fixes <link> 
0,"Configure <iden> explicitly  <enter> This commit configures <iden> explicitly rather than relying on the abstract configuration class. This has the advantage of simplifying the auto-configuration and let it us proxy-free configuration classes. <enter> <iden> no longer uses or interacts with <iden>. Users relying on that to teach <iden> which components to use should rely on `<iden>` flag instead in case of multiple beans of the same type. <enter> ` <file_name> ` is no longer public as extending from it is no longer necessary. If the `<iden>` has to be customized, a ` <file_name> ` bean can be registered to tune the auto-configured environment. <enter>  Closes <link> "
0,Start building against Spring Security <version> snapshots  <enter> See  <link> 
0,Create dedicated section for property conversion  <enter> See  <link> 
0,Revert 'Add failure analyzer for <iden>'  <enter> Closes <link> 
0,Upgrade to Neo4J OGM <version>  <enter> Closes <link> 
0,Upgrade Java 13 version in CI image  <enter> See  <link> 
0,"Refine validator and <iden> validator configuration  <enter> This commit ensures that a primary JSR 303 and <iden> will be exposed if the auto-configuration kicks in. As `<iden>` exposes 3 contracts (JSR-303 `<iden>` and `<iden>` as well as the `<iden>` validator one), this makes sure that those types can be injected by type. <enter> `<iden>` exposes 3 contracts and we're only checking for the absence of a `javax.validation.<iden>` to auto-configure a `<iden>`. If no standard JSR validator exists but a <iden>'s `<iden>` exists and is primary, we shouldn't flag the auto-configured one as `<iden>`. Previous iterations on this feature have made sure that we'll auto-configure at most one `javax.validation.<iden>` so not flagging it `<iden>` is no problem. <enter> This commit also restores and adds tests that validates ` <file_name> ` will configure a JSR validator even if a <iden> is present. <enter> This effectively  fixes <link>  in a different way. <enter>  Closes <link> Closes <link> "
0,Notify the use of logback specific system property  <enter> Logback documentation explains how to initialize the logging system and namely how the `logback.configurationFile` system property can be used to specify the configuration file to use. <enter> Spring <iden> has an abstraction on top of that. A user can define the `logging.path` property regardless of the logging infrastructure it is using. <enter> Users following the logback documentation can be confused at first so we're not logging a warning when we found out that the logback specific property has been specified. <enter>  Closes <link> 
0,"Do not enable cglib if spring.aop.proxy-target-class is configured  <enter> This commit makes sure to honour the `spring.aop.proxy-target-class` property if set by the user. Previously, the `PersistenceExceptionTranslationPostProcessor` was always configured to use cglib, regardless of the value of that property. <enter>  Closes <link> "
0,Add option to  <file_name>  devtools from fat jar  <enter> Add an `<iden>` property to both the <iden> and <iden> plugin that removes `org.springframework.boot:spring-boot-devtools` (if necessary) when repackaging the application. <enter>  Closes <link> 
0,Upgrade to Solr <version>  <enter> Closes <link> 
0,Upgrade to Cassandra Driver <version>  <enter> Closes <link> 
0,Fix data type of telnet and ssh ports  <enter> Define shell.ssh.port and shell.telnet.port as integer properties so that the generated meta-data exposes the proper type. <enter>  Fixes <link> 
0,Complete documentation of logger-name with out-of-box logging groups  <enter> Closes <link> 
0,Remove public modifier on JUnit5 lifecycle methods  <enter> See  <link> 
0,Polish <iden> support 
2,Polish  <enter> Closes <link> 
0,Add documentation for Hypermedia endpoints 
2,Allow binding number to <iden>  <enter> Closes <link> 
0,Improve <iden> documentation for reactive applications  <enter> Closes <link> 
0,Polish 'Add configuration property for Spring <iden>'s missingTopicsFatal' <enter>  Closes <link> 
0,Polish 'Update documentation to reference webjars-locator-core'  <enter> Closes <link> 
1,Polish 
0,Remove outdated key  <enter> The `spring.metrics.export.redis.aggregate-key-pattern` is no longer defined but was still referenced in the documentation. 
0,Upgrade to gmavenplus-plugin <version> 
0,Add cache documentation  <enter> See  <link> 
2,Fix meta-data for spring.devtools.remote  <enter> See  <link> 
0,Rename redis starter to  <file_name> -boot-starter-data-redis  <enter> Closes <link> 
0,Polish doc  <enter> Closes <link> 
0,Add reference to migration guide  <enter> Closes <link> 
0,Auto configure micrometer cache metrics  <enter> Closes <link> 
0,Add default order for  <file_name> <enter> Closes <link> 
0,Remove multi config <iden> extension  <enter> Closes <link> 
1,Polish 
0,Fix build failure  <enter> More change to use the http <iden> driver <enter> See  <link>  <enter>  Closes <link> 
0,"Revisit <iden> configuration structure  <enter> This commit removes the `client` namespace for <iden> as the component that is created is `<iden>`, not `InfluxDBClient` or something. <enter> This aligns with all the other url/user/password properties Spring Boot provides already <enter> See  <link> "
0,Polish 'Allow customization of <iden>'  <enter> Closes <link> 
0,Polish 'Auto-detect jOOQ dialect'  <enter> Closes <link> 
0,"Mention that <iden> requires commons-pool2  <enter> We intend to remove this limitation in a future milestone but as the <iden> auto-configuration requires `commons-pool2`, this commit updates the How-To to mention that. <enter> See  <link> "
2,Fix broken build 
0,Upgrade to Mysql <version>  <enter> Closes <link> 
0,Upgrade to <iden> <version>  <enter> Closes <link> 
0,Disable bean method proxying in <iden>  <enter> Closes <link> 
0,Upgrade to <iden> <version>  <enter> Closes <link> 
0,Generate default values from <iden> and <iden> .ZERO  <enter> Closes <link> 
0,Upgrade to Freemarker <version>  <enter> Closes <link> 
0,Upgrade to spring-javaformat <version>  <enter> Closes <link> 
2,Try to make  <file_name>  less flakey  <enter> Closes <link> 
0,Align with changes in latest <iden> snapshots  <enter> See  <link> 
0,Correct link to <iden> MarkupTemplateEngine documentation  <enter> See  <link> 
0,Upgrade to Jetty <version>  <enter> Closes <link> 
0,Upgrade to Thymeleaf Extras Java8time <version>  <enter> Closes <link> 
0,"Test that <iden> works when thread is interrupted  <enter> Previously, RandomAccessDataFile used a semaphore and acquired it interruptibly. This meant that an interrupted thread was unable to access the file. Notably, this would prevent <iden> from loading classes or resources on an interrupted thread. <enter> The previous commit ( <link> ) updates RandomAccessDataFile to acquire the semaphore uninterruptibly. This commit adds a test to <iden> to verify that it can now load a resource from an interrupted thread. <enter>  Closes <link> "
0,Avoid blocking on a <iden> indefinitely  <enter> Closes <link> 
0,"Better diagnotics when ESCF subclass breaks with custom management port  <enter> When a custom management.port is used, the child context is configured with an <iden> bean that has the same class as the parent context鈥檚 <iden> bean. This ensures that the child context uses the same type of embedded container as its parent when there are multiple embedded containers on the classpath. It also causes a failure when the custom <iden> subclass cannot be instantiated, for example because it鈥檚 an anonymous inner-class. <enter> This commit improves the diagnostics so that we fail fast with an information exception message when we detect that the embedded servlet container factory bean鈥檚 class cannot be instantiated. <enter>  Closes <link> "
0,Upgrade to Thymeleaf Extras Java8time <version>  <enter> Closes <link> 
0,Upgrade to Jackson <version>  <enter> Closes <link> 
0,Document profile activation limitation of .spring-boot-devtools.properties <enter>  Closes <link> 
0,"Update view of bean types when an override is detected  <enter> Previously, when a bean was overridden and its type changes,  <file_name>  could be left with a stale view of the bean's type. This would lead to incorrect bean condition evaluation as conditions would match or not match based on the bean's old type. <enter> This commit updates the type registry to refresh its view of a bean's type when its definition changes. <enter>  Closes <link> "
0,Upgrade to Jackson <version>  <enter> Closes <link> 
0,Upgrade to Reactor Bom <iden>  <enter> Closes <link> 
0,"Disable <iden>'s shutdown hook by default  <enter> <iden> enables its shutdown hook by default. When the JVM is exiting, this creates a race between logging that happens during the application context being closed and <iden> being shut down such that the logging is lost. <enter> This commit updates  <file_name>  so that it produces a custom sub-class of <iden> that disables the shutdown hook by default. In addition to solving the problem described above, this also aligns the <iden> logging system with the logging.register-shutdown-hook property which defaults to false. <enter>  Closes <link> "
0,Use sha256 hashes for Docker base images to ensure repeatability  <enter> Closes <link> 
1,Polish 
0,Upgrade to Jetty <version>  <enter> Closes <link> 
3,Polishing  <enter>  - Code formatting  - Javadoc warnings  - Deprecation warnings 
0,Upgrade to <iden> <version>  <enter> Closes <link> 
0,Upgrade to Reactor <iden>  <enter> Closes <link> 
0,Ensure that  <file_name>  destroys underlying controller  <enter> Closes <link> 
0,Document that <iden> commands written in <iden> are not supported  <enter> Closes <link> 
0,Set TCCL before initialising test class in  <file_name> <enter> Closes <link> 
0,"Fix  <file_name> 鈥?handling of profiles activated by a file  <enter> Previously,  <file_name>  used a <iden> with no PathTransformer. If a  <file_name>  file contains a file-activated profile this would result in an NPE within Maven. This was made worse by the NPE not being included in the resulting failure message which hampered diagnosis of the problem. <enter> This commit updates  <file_name>  to configure its <iden> with a PathTransformer. It also improves the failure message that鈥檚 created from any problems that are reported by Maven while determining the active profiles to include a problem鈥檚 exception if it has one. <enter>  Closes <link> "
0,Upgrade to Tomcat <version>  <enter> Closes <link> 
0,Polish new layered jar support 
0,Upgrade to Jetty <version>  <enter> Closes <link> 
0,Start building against snapshots for Spring Data <iden> SR10  <enter> See  <link> 
0,Upgrade to Jetty Reactive Httpclient <version>  <enter> Closes <link> 
0,Use accessor for in-progress async count added in <iden> <version>  <enter> Closes <link> 
0,Upgrade to Ehcache3 <version>  <enter> Closes <link> 
0,Remove stale <iden> source from src/main/groovy in the <iden> plugin  <enter> Closes <link> 
0,Upgrade to Embedded Mongo <version>  <enter> Closes <link> 
0,Avoid creating unnecessary garbage during <iden> normalization  <enter> Closes <link> 
0,Upgrade to Spring AMQP <version>  <enter> Closes <link> 
0,Include tasks with custom triggers in scheduledtasks endpoint output  <enter> Closes <link> 
0,Ensure that  <file_name>  runs before <iden>  <enter> Closes <link> 
0,Upgrade to Reactor Bom <iden>  <enter> Closes <link> 
0,Upgrade to Flyway <version>  <enter> Closes <link> 
0,Upgrade to Tomcat <version>  <enter> Closes <link> 
0,Remove use of regular expressions in <iden> profile-based doc matching  <enter> Closes <link> 
0,Upgrade to Spring AMQP <version>  <enter> Closes <link> 
1,Polishing 
0,Ensure that AWTError from  <file_name>  does not prevent app starting  <enter> Closes <link> 
0,Upgrade to Webjars Locator Core <version>  <enter> Closes <link> 
0,Upgrade to Jboss Logging <version>  <enter> Closes <link> 
0,Upgrade to Jakarta Annotation <version>  <enter> Closes <link> 
0,Upgrade to jOOQ <version>  <enter> Closes <link> 
0,Upgrade to Jboss Transaction Spi <version>  <enter> Closes <link> 
0,"Report non-matching outer class conditions  <enter> Update  <file_name>  so that, whenever a negative outcome is added for a source, any existing outcomes for inner classes of that source are updated with a non-matching outcome that indicates that the outer configuration did not match. <enter> Conditions are evaluated in two phases; PARSE_CONFIGURATION first and REGISTER_BEAN second. If a parent class鈥檚 conditions match in PARSE_CONFIGURATION then its inner classes will have their PARSE_CONFIGURATION conditions evaluated. If they all match, the inner class will be reported as a positive match in the auto-configuration report even if the outer class does not match as a result of the subsequent evaluation of a REGISTER_BEAN condition. <enter>  Fixes <link> "
0,Rename preferred-mapper property so its clear it only applies to JSON  <enter> preferred-mapper has been renamed to preferred-json-mapper to make it clear that it only affects the JSON mapper and that the XML mapper that will be used (if any) is unaffected <enter> See  <link> 
0,Uses the latest version of Tomcat 7 in the sample 
0,Upgrade to Tomcat <version>  <enter> Closes <link> 
0,Remove duplicate console appender from Actuator sample's  <file_name>  config  <enter> Closes <link> 
0,Upgrade to Exec Maven Plugin <version>  <enter> Closes <link> 
2,Fix deprecation warnings in Testcontainers wait strategies  <enter> See  <link> 
0,Make Jest available to javadoc generation  <enter> See  <link> 
0,Update appendix with details of new Spring <iden> property  <enter> Follow-on from  <link> . <enter>  Closes <link> 
0,Start building against Spring Session snapshots for <iden>  <enter> See  <link> 
0,"Order char encoding filter so it sets encoding before request is read  <enter> For the character encoding filter to work, it's vital that it sets the request's encoding before any other filters attempt to read the request. This commit updates the order of  <file_name>  to be HIGHEST_PRECEDENCE and improves the existing test to check that the ordering is as required. <enter>  Closes <link> "
0,Stop Jersey from pulling in duplicate classes with JDK 11+  <enter> Closes <link> 
0,Upgrade to Spring Session <iden>  <enter> Closes <link> 
1,Polishing 
1,Polishing 
0,"Introduce defined extension point for modifying the environment  <enter> The commit introduces a new extension point,  <file_name> , that can be implemented by classes that want to modify the environment. Implementations of  <file_name>  are loaded via  <file_name>  and called in response to the <iden>. <iden> listeners that wish to work with the post-processed environment can continue to listen to <iden> and order themselves to run after  <method_name>  <enter> Existing ApplicationListeners that modify the environment have, where possible, been updated to implement  <file_name>  instead. <enter>  Closes <link> "
0,Upgrade to Joda Time <version>  <enter> Closes <link> 
0,Polish 'Improve docs on custom metrics'  <enter> Closes <link> 
0,Update  <file_name>  config to look for minor version upgrades 
1,Polish 
0,Upgrade to Mongo Driver Reactivestreams <version>  <enter> Closes <link> 
0,"Log classpath once environment has been prepared  <enter> Previously, the classpath would be logged in response to the <iden>. At this point, logging could be disabled while the logging system is being initialized, or because the log levels configured in the environment have not yet been applied. <enter> This commit moves the logging to happen in response to an <iden> by which point the logging system has been initialized and its levels have been configured. <enter>  Closes <link> "
0,Apply spring.jackson.* config to <iden> REST object mappers  <enter> Closes <link> 
0,"Improve diagnostics when  <file_name>  type deduction fails  <enter> When @ConditionalOnBean or <iden> are used on a  @bean  method, they will, in the absence of any other configuration, attempt to deduce the bean's type by examining the method's return type. This deduction can fail. See  <link> ,  <link> , and  <link>  for some examples of possible failure causes. Previously, this failure was only logged as a debug message leaving the user with a misleading message suggesting that the @ConditionalOnBean or <iden> annotation was not configured correctly. <enter> This commit improves the diagnostics by mention the possibility of type deduction in the exception message and including the exception that caused deduction to fail as the cause. <enter>  Closes <link> "
0,Polish contribution 
0,Upgrade to Infinispan <version>  <enter> Closes <link> 
0,Upgrade to Spring Integration <version>  <enter> Closes <link> 
0,Stop MeterRegistries when context is closed  <enter> Closes <link> 
0,Prevent authenticated principal from clashing with argument of same name  <enter> Closes <link> 
3,Remove non-existent starter from dependencies  <file_name>  
0,Suppress Neo4J-related deprecation warnings  <enter> See  <link> 
0,Upgrade to Ehcache3 <version>  <enter> Closes <link> 
0,Start building against Spring HATEOAS <version> snapshots  <enter> See  <link> 
0,"Align test with Spring MVC's internals once again  <enter> The internals have been updated so that the field that was originally used, interceptors, can be used again. <enter> This reverts commit  <link> . "
0,Upgrade to Surefire <version>  <enter> Closes <link> 
0,Align default scopes for <iden> with changes in Spring Security <version>  <enter> Closes <link> 
0,Upgrade to Maven Enforcer Plugin <version>  <enter> Closes <link> 
0,Upgrade to Selenium <version>  <enter> Closes <link> 
0,No-op  <file_name>  when <iden> is not present  <enter> Closes <link> 
0,Clean up logging dependencies and exclusions  <enter> Closes <link> 
0,Upgrade to Spring Session Data MongoDB <version>  <enter> Closes <link> 
0,Upgrade to Byte Buddy <version>  <enter> Closes <link> 
0,Upgrade to Reactor <iden>  <enter> Closes <link> 
0,"Add <iden> to <iden> in Gradle plugin  <enter> This commit introduces a new <iden> property on the <iden> provided by the Gradle plugin. It can be used to explicitly configure the <iden> of the default <iden>, <iden>, and <iden> tasks in a single place. Previously, the only mechanism provided to do so was the <iden> property that's only available when the application plugin has been applied. <enter>  Closes <link> "
0,Upgrade to Spring Restdocs <version>  <enter> Closes <link> 
0,Upgrade to Neo4j Ogm <version>  <enter> Closes <link> 
0,Start building against snapshots for Spring Kafka <version>  <enter> See  <link> 
0,Upgrade to Artemis <version>  <enter> Closes <link> 
0,Add dependency management for org.hibernate:hibernate-spatial  <enter> Closes <link> 
0,Upgrade to maven-compiler-plugin <version>  <enter> Closes <link> 
0,Upgrade to Influxdb Java <version>  <enter> Closes <link> 
0,Upgrade to Commons Lang3 <version>  <enter> Closes <link> 
0,Drop back to Surefire <version> as <version> was rebranded as <version> 
0,Improve links to <iden> plugin's documentation  <enter> Closes <link> 
0,Drop <iden> attribute from <iden>  <enter> Closes <link> 
0,Upgrade to Rxjava <version>  <enter> Closes <link> 
0,Align with <iden> Framework 5's new Commons <iden> adapter  <enter> Closes <link> 
0,"Publish artifacts and, when <iden> plugin used, customize upload task  <enter> See  <link> "
0,Align with API changes in latest Spring <iden> Kay snapshots  <enter> See  <link> 
0,Upgrade to Rxjava2 <version>  <enter> Closes <link> 
0,add customized class path for javassist ( <link> ) 
0,add <iden> annotation ( <link> ) 
2,fix ut 
2,Fix compilation ( <link> ) 
0,Reduce memory allocation during address change notification. ( <link> )  <enter> 1. Merge  <file_name>  notification events happened in a certain short interval. 2. cache  <file_name>  instances to reduce string ->  <file_name>  recreation 3. reduce allocation during export and refer at start up. 4. add frozen status for  <file_name>  5. use  <file_name>  for unfrozen URLs 
0, <file_name> : return default value if not implemented. ( <link> )  <enter> fixes <link> 
2,bugfix:fix alibaba  <file_name>  setAttachment(<iden>) ( <link> ) 
0,revert <iden> for jdk related bug: ( <link> )  <enter> <url> 
1,add  <file_name>  file back. 
0,avoid potential shutdown race condition. ( <link> ) 
3,Revert '[Dubbo-5813]prevent <iden> method of <iden> being invoked twice when using Spring ( <link> )' ( <link> ) <enter> This reverts commit  <link> . 
0,"add comment for  <file_name> , see <link> "
3,upgrade dependency to <version> 
0,change version to <version> to prepare for next major release 
0,"Fix  <file_name>  log endless recursive ( <link> )  <enter> *  Fixes <link> , endless recursive call when <iden> method fails. *  Fixes <link> "
0,"protocols/<iden> and registries/<iden>, make sure only one can work ( <link> ) "
0,"temporarily change spring-context-support dependency back to <iden>, the formal release turns to be broken. "
2,optimize config 
3,add start status for <iden> server 
0,Add comments for <iden> implementations 
0,change protoc compiler version to <iden> 
3,add gpg signing plugin for protobuf compiler 
2,to process a scenario when service type is not available and service  <file_name>  is not generic either <enter> to process a scenario when service type is not available and service  <file_name>  is not generic either 
1,add gradle wrapper jar file 
3,copy invoker to new invocation in  <file_name>  
3,adjust format of generated stub 
2,fix parameters could be null. ( <link> ) 
0,Refactor: <iden> and <iden> 
0,revert <link> by logging error msg. ( <link> ) 
0,config refactor 
0,Reduce context switching cost by optimizing thread model on consumer side. ( <link> ) <enter> * introduce executor manager <enter> * consumer thread model <enter> * optimize consumer side thread model 
0,Shorten the life cycle of <iden> to get a better gc effect ( <link> ) 
3,delete protoc generator test files 
0,Add 'getUniqueServiceKey' to keep backward compatibility. 
3,"Don't merge, disable routers "
0, <file_name>  implements future and keep  <file_name>  backward compatibility. ( <link> ) 
1,test flush 
3,generate urls directly for non-dubbo service instances. 
3,unify heartbeat stamp key 
0,performance tuning:  <file_name>  revert ( <link> ) 
0,performance tuning: save  <file_name>  allocation ( <link> ) 
3,register applicationconfig 
2,fix conflicts after merged master 
0,check null for path before call rest server ( <link> ) 
0,add <version> release notes 
0,register callback once for the full filter chain. ( <link> ) 
2,Solve compile problem in java11 ( <link> ) 
1,demos 
3,update default dependency to the latest version. 
3,temporarily ignore UT  <file_name>  
3,update change list 
3,Introduce  <file_name>  to distinguish from <iden> 
3,spring delegate to bootstrap. 
0,Revert code to avoid NPE in RPC wire after providers are cleared. 
0,Routers zookeeper path ( <link> )  <enter> * give router rule a more layered extensiable ZK path: * ../routers/condition * ../routers/tag * ../routers/otherRouter <enter> * Fix <iden> <enter> * Adjust ZK to handle layered routers path <enter> * Remove  <file_name>  <enter> * Adjust code to avoid possible ConcurrentModificationException <enter> * revert router from layered path to flat path: /router/condition -> router-codition <enter> * adjust router path in <iden> <enter> * change suffix literal: router-condition to condition-router <enter> * change suffix literal: router-condition to condition-router 
3,revert router from layered path to flat path:  <enter> /router/condition -> router-codition 
2,fix <iden> 
3,Upgrade maven dependency to the latest version 
0,"remove <iden> cache to support one service/reference registered more than one time (if users don't explicitly add id, cache can not work properly) "
2,"Fixes <link> , fail to parse config text with white space ( <link> ) "
3,set all router rule enabled by default 
1,weird demo changes 
3,Check config instance in  <file_name>  before create a new one. 
3,Config optimization.  <enter> 1. add  <file_name>  2. <iden> hold reference of  <file_name>  3. change from-spring to include-spring-env 
3,set reg status to true after reExport 
0,support handle of exception from <iden> or <iden> ( <link> )  <enter> fix <link> 
0,duplicate decrease for  <file_name>  <iden> ( <link> ) 
2,app level override rule should only generate one url 
2,optimize  <file_name>  api 
2,fix NPE when no listeners registered for key 
3,adjust zookeeper dependency 
0,"Fix concurrent problem of zookeeper configcenter, wait to start until cache being fully populated. "
0,[ <file_name> -3875] dubbo TagRouter does not work with dubbo:parameter. ( <link> )  <enter> * avoid 'dubbo.tag' from provider side being override on consumer side * not necessary to keep 'default.' prefix for configs come from <iden> and <iden> * fix ut caused by removing of 'default.' prefix 
2,Fix configurator bug 
0,Ignore flatten related files. ( <link> ) 
3,ignore parameter(exclude=true). 
3,change log level to info 
3,change how <iden> instance is fetched. 
2,Fix NPE in  <file_name>  
3,record init status. 
0,Add spring annotation support for <iden>. 
0,"Changes on demo, for test purpose. "
0,"Move <iden> in config-api to bootstrap temporarily, to solve the unreasonable dependency problem between modules. For long term run, we should refactor the config-api module to stop it from depending on other modules. "
0,fix comments 
0,Remove useless config item in xsd 
3,Support static tag group in  <file_name>  
2,Fix compilation problem 
0,Remove duplicate ut classes 
3,Change  <file_name>  and  <file_name> : scope and rules 
3,Add  <file_name>  name and fix  <file_name>  error. 
0,Extract <iden> impl to  <file_name>  interface and concrete  <file_name>  only responsible for provide priority. ( <link> ) <enter> something is waiting for us to disscuss: 1. Every <iden> implement should set a priority? 2. <link> 
2,Solve merge conflicts manually 
0,upgrade version manually after merge <version> 
0,Polish release notes in CHANGES.md 
3,Add assembly plugin 
3,Polish distribution  <file_name>  
0,upgrade version to <version> 
3,"Polish, remove call of deprecated method "
3,Add .script route rules back for UT 
2,Fix UT problems after structure change 
0,Remove the shutdown logic from spring bean destroy to avoid competition. 
0,Fixed <link> check serialization in case it's changed from network. 
3,Change <iden> list address 
0,Add comment 
3,Translate missing content and add apache license 
0,Remove unnecessary dependencies 
1,Delete  <file_name>  
0,Add test example for rest 
3,Upgrade annotation demo 
2,"Fixed <link> , route rule should always run when changed, but should only run at every invoke when RUNTIME_KEY is true. "
0,Fixed typo in  <file_name> : mDeamo 
3,Adjust pull request template 
3,Ignore unit test  <file_name> (no zk server) 
2,Fix config error of heartbeat UT in dubbo-test-examples 
3,Add package support for 'dubbo-remoting-netty4' module 
0,Fixed <link> change  <method_name>  wait/notify to lock/condition 
2,fix(dubbo-admin): webx-<version> not compitable with spring-<version> 
2,fix compiler bug 
3,add maven-compiler-plugin to  <file_name>  
0,Update changelog for <version> 
0,Use HTTPS links in documentation where possible.  <enter> Closes :  <link> 
3,Define <iden> for Retrofit modules 
0,Upgrade to  <file_name>  <version>. 
2,Sample for a  <method_name>  
3,Combine  <file_name>  and <iden> into  <method_name> <enter> This is once class that handles all of the annotations and binding for a service method. 
3,Issue template for retrofit. 
3,Use <iden> in  <method_name>  
0,"Rename  <method_name>  to onSuccess(), and failure() to <iden>(). "
0,Also refer to the latest OkHttp version. 
0,Prepare next development version. 
0,Prepare for release <version>. 
3,Check in the old public suffix DB 
3,Add a canceled event to  <file_name>  
0,"Limit recovery attempts for REFUSED_STREAM errors  <enter> We limit per-connection retries but not per-call retries, so this was creating large numbers of connections each of which called the server and accepted yet another REFUSED_STREAM. <enter> Instead we fail sooner with a <iden>. <enter> This shows that the  <file_name>  interface is still somewhat inadequate to support all of the use cases we have. "
0,Add HTTP/2 and <iden><version> columns to our security providers doc 
0,Use  <file_name> 's built-in <iden> style  <enter> The boilerplate to set this up is unfortunate. 
0,Use our test rule instead of the Maven Surefire listener  <enter> Closes :  <link> 
0,Increase severity of bridge methods to <iden>. ( <link> )  <enter> Delete the  <method_name>  It has served its purpose. 
0,OkHttp 4 upgrade guide 
0,"Degrade connections after a timeout  <enter> This is based roughly on the '<iden> Connections' proposal here  <link>  <enter> I'm using 1000 ms instead of 500 ms. That's about the cost of a (slow) <iden> handshake, which is what callers would need to do if we degrade unnecessarily. "
0,Implement date formatting and parsing as extensions ( <link> ) 
3,"Use <iden> in  <file_name> <enter> The utility here is negligible. We're sharing threads between HTTP, HTTP/2 and web sockets now. "
1,Idiomatic Kotlin for <iden> 
3,Adopt idiomatic <iden> in  <file_name>  
0,Cancel calls on unexpected exceptions  <enter> Closes :  <link> 
0,"<iden> change: Make  <file_name>  accessors final  <enter> If we want these to be vals to Kotlin, they can't be open. I think the motivation to make these non-final was pretty weak, and I don't mind breaking <iden> compatibility here. "
2,Fix a regression in combining cache headers  <enter> This was introduced with our migration to Kotlin. Iterating over the indices of the header names doesn't work because header names are not distinct. <enter>  Closes :  <link> 
0,Prepare next development version. 
0,<version> backports some bug fixes 
3,Include prerequisites in the releasing guide.  <enter> <url> 
0,Convert  <file_name>  to Kotlin ( <link> )  <enter> * Rename  <file_name>  to .kt <enter> * Convert  <file_name>  to Kotlin 
0,Update the changelog for <iden> <version> 
0,Revise the upgrading guide for <iden> <version>.  <enter> Also change the old <iden> <version> <iden> to set the new docs as canonical.  <url> 
